case_id,case_type,scenario,input_change,expected_behavior,expected_output
N01,正常,三家支行文件齐全且字段统一,无,完成九步并输出全部文件,质量报告为通过且行动台账待人工确认
N02,正常,高新支行使用英文别名字段,使用字段字典中的合法别名,映射后继续并记录映射,标准明细保留来源列名
N03,正常,社区银发客群无可用活动容量,资源容量为0,不生成活动邀约并记录原因,机会清单标注资源不足
B01,边界,本周没有满足证据规则的经营机会,接触与预约信号均低于规则阈值,正常结束但输出空机会清单,管理摘要说明无有效机会
B02,边界,同一客群在两周出现多次触达,历史台账存在重复触达,提示人工确认触达频率,行动台账不得自动安排再次联系
E01,错误,缺少曲江支行周报,删除一个必需文件,停止并列出缺失文件,只输出质量报告和停止日志
E02,错误,资产余额字段同时出现万元和元,单位冲突,停止并请求业务负责人确认,不得自行换算
E03,错误,报告周次与汇总周不一致,周次写为2026-W31,停止并生成冲突清单,不得直接改原文件
E04,错误,出现完整手机号示例13000000000,在测试备注列加入未脱敏号码,立即停止并标记敏感信息风险,不得在输出中复制号码

