场景编号,业务环节,场景名称,主要使用者,核心痛点,AI介入方式,所需数据或知识,业务价值1-5,数据成熟度1-5,实施可行性1-5,可复制性1-5,组织阻力1-5反向,合规安全1-5,总分,人工确认点,90天验证指标,建议优先级
S01,销售与方案,客户需求结构化助手,销售经理与方案工程师,需求材料不完整且往返确认多,读取邮件与附件并生成需求澄清清单,CRM记录；客户需求书；产品参数,5,4,5,5,4,4,,销售确认需求范围与对外表述,材料完整率与澄清轮次,候选
S02,销售与方案,历史方案检索与复用助手,方案工程师,历史方案难找且重复设计,基于行业工艺参数检索相似案例并说明来源,历史技术方案；BOM；报价版本,5,3,4,5,4,4,,工程师确认技术适用性,方案复用率与报价周期,候选
S03,销售与方案,智能报价草案,销售总监与商务经理,报价口径不一致且审批慢,按规则生成成本测算与报价草案并标出异常,价格表；折扣规则；BOM；历史项目,5,3,3,4,3,3,,商务与财务审批最终价格,报价周期与错误率,候选
S04,项目交付,项目周报与风险驾驶舱,项目经理与管理层,跨系统手工汇总耗时且风险暴露晚,汇总任务里程碑预算问题并生成驾驶舱,ERP；PLM；MES；项目计划；会议纪要,4,4,4,5,4,4,,项目经理确认状态和责任人,周报工时与风险提前量,候选
S05,研发与工艺,设计变更影响分析,研发经理与采购经理,变更影响难以及时覆盖BOM采购和交付,提取变更并匹配受影响部件文档与项目,ECN；BOM；采购订单；项目计划,5,4,3,4,3,4,,设计放行与采购变更必须人工审批,遗漏率与响应时间,候选
S06,采购,长周期件风险预警,采购经理与项目经理,缺料风险在总装阶段才暴露,分析交期库存替代料与里程碑生成预警,采购订单；库存；供应商交期；项目计划,4,4,4,5,4,4,,采购确认替代料与催交动作,预警提前量与停线次数,候选
S07,质量,质量问题8D报告助手,质量工程师,证据分散且报告编制耗时,汇总检验记录图片与会议纪要生成可追溯草稿,检验记录；问题单；8D模板；历史案例,4,4,5,5,4,4,,质量负责人确认根因与措施,报告周期与退回率,候选
S08,售后,故障诊断与知识助手,售后工程师,响应慢且依赖少数专家,检索手册案例和备件信息生成诊断路径,工单；设备手册；故障代码；维修案例,5,3,4,5,4,4,,安全相关处置由资深工程师确认,首次响应与一次解决率,候选
S09,售后,备件需求预测,备件计划员,库存高但关键件仍缺货,结合装机量故障率与使用周期预测需求,装机台账；备件出库；故障记录；交期,4,3,3,5,4,4,,计划员确认采购计划,缺货率与库存周转,候选
S10,人力与培训,岗位知识陪练助手,新员工与业务骨干,培训依赖导师且知识更新慢,按岗位知识库生成情景问答与反馈,岗位SOP；产品知识；合规规则；案例,3,4,5,5,4,5,,业务专家审核知识与评分标准,上岗周期与考核通过率,候选
S11,管理,经营会议决策摘要,高管与经营分析人员,会议材料多且行动项易遗漏,汇总经营数据与材料生成事实判断建议三层摘要,经营报表；会议材料；行动台账,4,4,5,5,5,5,,经营负责人确认建议与承诺,准备时间与行动闭环率,候选
S12,产品创新,设备健康订阅服务,服务产品负责人,一次性设备收入为主,基于设备运行与工单提供预警和服务建议,设备运行数据；维修记录；备件数据,5,2,2,4,2,3,,客户授权与工程师确认服务建议,试点续费意愿与停机降低,探索
